GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_5817: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households",v_CA21_5847: Bachelor's degree or higher,"v_CA21_5865: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households",v_CA21_5895: Bachelor's degree or higher
4620078.00,CT,0078.00,0.3717,3955,2276,2108,3470,1700,2320,1350
4620079.00,CT,0079.00,0.5951,4579,2817,2560,4125,1950,3100,1750
4620080.00,CT,0080.00,0.0901,782,434,393,770,415,595,375
4620081.00,CT,0081.00,0.263,3553,2353,2178,3165,1785,2585,1595
4620082.00,CT,0082.00,0.2977,2186,1233,1127,1840,680,1365,595
4620083.00,CT,0083.00,0.4155,3406,2039,1833,2985,1435,2350,1315
4620084.00,CT,0084.00,0.3456,2793,1492,1397,2195,755,1490,690
4620085.00,CT,0085.00,1.1838,747,387,336,565,175,445,170
4620086.00,CT,0086.00,0.5271,3934,2144,2019,3435,1195,2390,1045
4620087.00,CT,0087.00,0.2627,3221,1688,1575,2680,790,1945,700
4620088.00,CT,0088.00,0.3377,3585,2000,1862,2965,840,2015,770
4620089.00,CT,0089.00,0.5259,4916,2584,2409,4205,1455,2925,1265
4620090.00,CT,0090.00,0.4356,4589,2271,2158,3890,1355,2650,1200
4620091.00,CT,0091.00,0.9907,0,0,0,,,,
4620092.00,CT,0092.00,0.5585,5984,2971,2854,5020,1495,3315,1310
4620093.00,CT,0093.00,0.7341,3253,1679,1545,2710,650,2000,590
4620094.01,CT,0094.01,1.8073,6306,3415,3186,5405,1575,3725,1355
